INFO   | jvm 1    | 2017/09/05 17:10:09 | [INFO ] 2017-09-05 17:10:09,109 method:trace.db.dao.iml.SaleReportDaoImpl.getSaleNumByMonth(SaleReportDaoImpl.java:25)
INFO   | jvm 1    | 2017/09/05 17:10:09 | 开始计算每月销售量
INFO   | jvm 1    | 2017/09/05 17:10:09 | [INFO ] 2017-09-05 17:10:09,113 method:trace.db.dao.iml.SaleReportDaoImpl.getSaleNumByMonth(SaleReportDaoImpl.java:33)
INFO   | jvm 1    | 2017/09/05 17:10:09 | 获取时间段内的销售总额
INFO   | jvm 1    | 2017/09/05 17:10:09 | [INFO ] 2017-09-05 17:10:09,113 method:trace.db.dao.iml.SaleReportDaoImpl.getSaleNumByMonth(SaleReportDaoImpl.java:61)
INFO   | jvm 1    | 2017/09/05 17:10:09 | 赋予每个月对应的销售额
INFO   | jvm 1    | 2017/09/05 17:10:09 | [INFO ] 2017-09-05 17:10:09,114 method:trace.db.dao.iml.SaleReportDaoImpl.getSaleNumByMonth(SaleReportDaoImpl.java:25)
INFO   | jvm 1    | 2017/09/05 17:10:09 | 开始计算每月销售量
INFO   | jvm 1    | 2017/09/05 17:10:09 | [INFO ] 2017-09-05 17:10:09,117 method:trace.db.dao.iml.SaleReportDaoImpl.getSaleNumByMonth(SaleReportDaoImpl.java:33)
INFO   | jvm 1    | 2017/09/05 17:10:09 | 获取时间段内的销售总额
INFO   | jvm 1    | 2017/09/05 17:10:09 | [INFO ] 2017-09-05 17:10:09,118 method:trace.db.dao.iml.SaleReportDaoImpl.getSaleNumByMonth(SaleReportDaoImpl.java:61)
INFO   | jvm 1    | 2017/09/05 17:10:09 | 赋予每个月对应的销售额
INFO   | jvm 1    | 2017/09/05 17:10:09 | [INFO ] 2017-09-05 17:10:09,118 method:trace.db.dao.iml.SaleReportDaoImpl.getSaleNumByMonth(SaleReportDaoImpl.java:25)
INFO   | jvm 1    | 2017/09/05 17:10:09 | 开始计算每月销售量
INFO   | jvm 1    | 2017/09/05 17:10:09 | [INFO ] 2017-09-05 17:10:09,122 method:trace.db.dao.iml.SaleReportDaoImpl.getSaleNumByMonth(SaleReportDaoImpl.java:33)
INFO   | jvm 1    | 2017/09/05 17:10:09 | 获取时间段内的销售总额
INFO   | jvm 1    | 2017/09/05 17:10:09 | [INFO ] 2017-09-05 17:10:09,122 method:trace.db.dao.iml.SaleReportDaoImpl.getSaleNumByMonth(SaleReportDaoImpl.java:61)
INFO   | jvm 1    | 2017/09/05 17:10:09 | 赋予每个月对应的销售额
INFO   | jvm 1    | 2017/09/05 17:10:09 | [INFO ] 2017-09-05 17:10:09,122 method:trace.db.dao.iml.SaleReportDaoImpl.getSaleNumByMonth(SaleReportDaoImpl.java:25)
INFO   | jvm 1    | 2017/09/05 17:10:09 | 开始计算每月销售量
